date,amount,currency,merchant,description,category,country,label_subscription,label_anomaly,label_reason
2023-01-02,170.96,HUF,Ikea,Ikea purchase,Dining,HU,0,0,
2023-01-03,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-01-03,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-01-03,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-01-03,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-03,25.00,EUR,AnnualMagazine,AnnualMagazine subscription,Entertainment,UK,1,0,
2023-01-03,79.93,EUR,MarketSquare,MarketSquare purchase,Dining,DE,0,0,
2023-01-03,98.33,HUF,CafeBreeze,CafeBreeze purchase,Health,DE,0,0,
2023-01-03,71.50,EUR,Tesco,Tesco extra,Groceries,SK,0,0,
2023-01-04,108.24,HUF,PharmaPlus,PharmaPlus purchase,Home,HU,0,0,
2023-01-04,130.48,EUR,HobbyShop,HobbyShop purchase,Dining,HU,0,0,
2023-01-04,28.78,EUR,Ikea,Ikea extra,Groceries,HU,0,0,
2023-01-05,80.53,HUF,CinemaCity,CinemaCity purchase,Groceries,AT,0,0,
2023-01-10,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-10,32.81,EUR,MarketSquare,MarketSquare purchase,Fuel,AT,0,0,
2023-01-10,28.31,EUR,Ikea,Ikea purchase,Leisure,HU,0,0,
2023-01-11,75.91,EUR,Shell,Shell purchase,Leisure,AT,0,0,
2023-01-11,28.59,HUF,CinemaCity,CinemaCity extra,Dining,HU,0,0,
2023-01-12,50.73,EUR,CafeBreeze,CafeBreeze purchase,Leisure,HU,0,0,
2023-01-13,7.01,HUF,BookWorld,BookWorld extra,Health,HU,0,0,
2023-01-16,81.55,EUR,HobbyShop,HobbyShop purchase,Dining,DE,0,0,
2023-01-17,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-19,16.53,EUR,MarketSquare,MarketSquare purchase,Dining,HU,0,0,
2023-01-19,66.50,EUR,PharmaPlus,PharmaPlus purchase,Books,AT,0,0,
2023-01-22,25.73,EUR,Shell,Shell purchase,Home,HU,0,0,
2023-01-23,38.43,HUF,Shell,Shell extra,Transport,HU,0,0,
2023-01-24,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-26,19.83,EUR,CinemaCity,CinemaCity purchase,Fuel,DE,0,0,
2023-01-26,50.69,HUF,Tesco,Tesco extra,Transport,SK,0,0,
2023-01-31,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-01,69.14,HUF,CinemaCity,CinemaCity purchase,Books,HU,0,0,
2023-02-01,150.95,EUR,CinemaCity,CinemaCity purchase,Fuel,HU,0,0,
2023-02-01,84.07,HUF,MarketSquare,MarketSquare extra,Leisure,RO,0,0,
2023-02-02,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-02-02,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-02-02,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-02-03,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-02-03,85.26,EUR,Shell,Shell purchase,Home,DE,0,0,
2023-02-05,99.95,HUF,MarketSquare,MarketSquare purchase,Fuel,HU,0,0,
2023-02-05,25.45,EUR,HobbyShop,HobbyShop purchase,Groceries,HU,0,0,
2023-02-06,66.49,EUR,Ikea,Ikea purchase,Groceries,AT,0,0,
2023-02-07,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-07,30.25,EUR,CafeBreeze,CafeBreeze purchase,Books,DE,0,0,
2023-02-07,33.55,EUR,MarketSquare,MarketSquare purchase,Fuel,AT,0,0,
2023-02-08,22.27,EUR,Shell,Shell purchase,Health,HU,0,0,
2023-02-10,72.00,EUR,CafeBreeze,Cafe abroad,Dining,IT,0,1,country_switch
2023-02-14,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-15,75.49,EUR,HobbyShop,HobbyShop purchase,Groceries,DE,0,0,
2023-02-18,129.50,HUF,CafeBreeze,CafeBreeze purchase,Health,DE,0,0,
2023-02-21,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-21,18.71,EUR,MarketSquare,MarketSquare purchase,Home,DE,0,0,
2023-02-22,56.95,EUR,CinemaCity,CinemaCity purchase,Health,HU,0,0,
2023-02-23,18.44,HUF,Ikea,Ikea purchase,Health,AT,0,0,
2023-02-23,171.44,HUF,HobbyShop,HobbyShop purchase,Health,HU,0,0,
2023-02-24,84.34,EUR,Tesco,Tesco extra,Leisure,HU,0,0,
2023-02-28,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-03-01,164.38,EUR,CinemaCity,CinemaCity purchase,Health,HU,0,0,
2023-03-01,41.14,HUF,Tesco,Tesco extra,Health,RO,0,0,
2023-03-03,21.21,HUF,PharmaPlus,PharmaPlus extra,Leisure,RO,0,0,
2023-03-04,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-03-04,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-03-04,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-03-05,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-03-05,165.23,HUF,HobbyShop,HobbyShop purchase,Fuel,HU,0,0,
2023-03-07,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-03-07,92.76,HUF,HobbyShop,HobbyShop purchase,Groceries,HU,0,0,
2023-03-08,41.83,EUR,CinemaCity,CinemaCity purchase,Dining,AT,0,0,
2023-03-12,29.13,HUF,CinemaCity,CinemaCity purchase,Books,DE,0,0,
2023-03-14,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-03-15,135.86,EUR,MarketSquare,MarketSquare purchase,Home,HU,0,0,
2023-03-15,1200.00,EUR,LaptopWorld,LaptopWorld event,Electronics,DE,0,1,very_high_amount
2023-03-16,22.77,EUR,CafeBreeze,CafeBreeze purchase,Fuel,HU,0,0,
2023-03-16,96.81,EUR,Shell,Shell purchase,Dining,HU,0,0,
2023-03-16,41.31,HUF,CafeBreeze,CafeBreeze purchase,Fuel,DE,0,0,
2023-03-16,82.64,HUF,Shell,Shell purchase,Groceries,DE,0,0,
2023-03-18,142.00,EUR,HobbyShop,HobbyShop purchase,Home,AT,0,0,
2023-03-21,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-03-21,22.67,HUF,Ikea,Ikea extra,Health,HU,0,0,
2023-03-22,164.48,HUF,Ikea,Ikea purchase,Leisure,HU,0,0,
2023-03-23,97.16,HUF,CafeBreeze,CafeBreeze purchase,Fuel,HU,0,0,
2023-03-26,146.65,HUF,BookWorld,BookWorld purchase,Health,HU,0,0,
2023-03-26,172.26,EUR,PharmaPlus,PharmaPlus purchase,Home,HU,0,0,
2023-03-28,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-04-01,44.60,EUR,CafeBreeze,CafeBreeze purchase,Leisure,AT,0,0,
2023-04-01,45.39,HUF,Ikea,Ikea extra,Health,SK,0,0,
2023-04-02,280000.00,HUF,OneTimeRoof,OneTimeRoof event,Home,HU,0,1,very_high_amount
2023-04-03,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-04-03,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-04-03,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-04-04,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-04-04,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-04-05,34.00,HUF,Tesco,Tesco purchase,Leisure,HU,0,0,
2023-04-05,10.45,HUF,Tesco,Tesco purchase,Health,HU,0,0,
2023-04-08,55.63,HUF,BookWorld,BookWorld purchase,Dining,DE,0,0,
2023-04-09,83.64,EUR,MarketSquare,MarketSquare extra,Groceries,SK,0,0,
2023-04-11,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-04-11,101.63,HUF,CafeBreeze,CafeBreeze purchase,Groceries,HU,0,0,
2023-04-15,80.35,HUF,HobbyShop,HobbyShop purchase,Dining,HU,0,0,
2023-04-15,24.02,EUR,Ikea,Ikea extra,Groceries,RO,0,0,
2023-04-17,82.62,HUF,Shell,Shell purchase,Leisure,HU,0,0,
2023-04-17,146.87,EUR,HobbyShop,HobbyShop purchase,Home,AT,0,0,
2023-04-18,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-04-18,98.04,EUR,Shell,Shell purchase,Books,HU,0,0,
2023-04-18,142.89,EUR,CinemaCity,CinemaCity purchase,Dining,HU,0,0,
2023-04-18,138.72,HUF,Tesco,Tesco purchase,Books,HU,0,0,
2023-04-20,121.05,EUR,CinemaCity,CinemaCity purchase,Dining,AT,0,0,
2023-04-20,141.48,EUR,Tesco,Tesco purchase,Home,DE,0,0,
2023-04-20,103.71,EUR,Ikea,Ikea purchase,Dining,AT,0,0,
2023-04-20,112.26,EUR,HobbyShop,HobbyShop purchase,Fuel,DE,0,0,
2023-04-21,46.07,HUF,CafeBreeze,CafeBreeze extra,Groceries,HU,0,0,
2023-04-21,49.73,HUF,CinemaCity,CinemaCity extra,Groceries,RO,0,0,
2023-04-25,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-05-02,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-05-02,76.33,HUF,MarketSquare,MarketSquare extra,Health,HU,0,0,
2023-05-03,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-05-03,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-05-03,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-05-03,17.89,HUF,CafeBreeze,CafeBreeze purchase,Books,HU,0,0,
2023-05-03,37.69,HUF,BookWorld,BookWorld extra,Health,SK,0,0,
2023-05-03,85.20,EUR,HobbyShop,HobbyShop extra,Transport,HU,0,0,
2023-05-04,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-05-04,53.68,EUR,Ikea,Ikea purchase,Leisure,HU,0,0,
2023-05-05,59.08,HUF,HobbyShop,HobbyShop extra,Groceries,HU,0,0,
2023-05-06,178.98,EUR,MarketSquare,MarketSquare purchase,Books,HU,0,0,
2023-05-08,53.49,EUR,Ikea,Ikea purchase,Groceries,HU,0,0,
2023-05-08,14.27,HUF,CafeBreeze,CafeBreeze extra,Leisure,HU,0,0,
2023-05-09,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-05-09,161.55,EUR,HobbyShop,HobbyShop purchase,Books,HU,0,0,
2023-05-09,149.00,HUF,Shell,Shell purchase,Health,HU,0,0,
2023-05-09,117.12,HUF,Tesco,Tesco purchase,Groceries,AT,0,0,
2023-05-10,173.25,EUR,HobbyShop,HobbyShop purchase,Leisure,HU,0,0,
2023-05-12,23.86,EUR,PharmaPlus,PharmaPlus purchase,Fuel,AT,0,0,
2023-05-12,65.00,EUR,NewCountryCafe,NewCountryCafe event,Dining,PL,0,1,new_country_merchant
2023-05-13,100.30,EUR,Shell,Shell purchase,Books,HU,0,0,
2023-05-14,75.49,EUR,Ikea,Ikea purchase,Health,HU,0,0,
2023-05-14,44.58,EUR,Ikea,Ikea purchase,Groceries,HU,0,0,
2023-05-15,128.94,EUR,CinemaCity,CinemaCity purchase,Dining,AT,0,0,
2023-05-16,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-05-18,75.00,EUR,CafeBreeze,Cafe abroad,Dining,CZ,0,1,country_switch
2023-05-21,9.16,HUF,CinemaCity,CinemaCity extra,Dining,HU,0,0,
2023-05-23,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-05-23,32.59,HUF,PharmaPlus,PharmaPlus purchase,Books,HU,0,0,
2023-05-23,6.85,EUR,Tesco,Tesco extra,Health,HU,0,0,
2023-05-24,76.50,EUR,Ikea,Ikea purchase,Health,HU,0,0,
2023-05-30,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-06-02,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-06-02,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-06-02,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-06-03,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-06-06,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-06-06,168.35,HUF,BookWorld,BookWorld purchase,Dining,HU,0,0,
2023-06-06,54.27,EUR,Shell,Shell purchase,Fuel,HU,0,0,
2023-06-06,12.74,EUR,HobbyShop,HobbyShop extra,Transport,HU,0,0,
2023-06-07,83.16,EUR,HobbyShop,HobbyShop extra,Transport,RO,0,0,
2023-06-09,10.64,HUF,Tesco,Tesco purchase,Dining,HU,0,0,
2023-06-09,30.28,HUF,CafeBreeze,CafeBreeze extra,Leisure,HU,0,0,
2023-06-10,94.02,EUR,CinemaCity,CinemaCity purchase,Fuel,HU,0,0,
2023-06-12,8.18,EUR,Shell,Shell purchase,Books,HU,0,0,
2023-06-13,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-06-13,176.88,HUF,PharmaPlus,PharmaPlus purchase,Groceries,HU,0,0,
2023-06-13,74.87,EUR,CafeBreeze,CafeBreeze extra,Groceries,RO,0,0,
2023-06-15,41.33,HUF,CinemaCity,CinemaCity extra,Dining,HU,0,0,
2023-06-17,169.36,HUF,BookWorld,BookWorld purchase,Fuel,HU,0,0,
2023-06-17,50.26,EUR,CinemaCity,CinemaCity purchase,Health,DE,0,0,
2023-06-17,110.99,HUF,CafeBreeze,CafeBreeze purchase,Groceries,DE,0,0,
2023-06-17,50.69,HUF,BookWorld,BookWorld purchase,Groceries,HU,0,0,
2023-06-18,167.39,EUR,MarketSquare,MarketSquare purchase,Home,HU,0,0,
2023-06-18,50.04,HUF,PharmaPlus,PharmaPlus purchase,Fuel,HU,0,0,
2023-06-20,520.00,EUR,LastMinuteTravel,LastMinuteTravel event,Travel,FR,0,1,high_amount
2023-06-20,28.15,HUF,PharmaPlus,PharmaPlus extra,Leisure,HU,0,0,
2023-06-21,82.09,EUR,CafeBreeze,CafeBreeze purchase,Health,DE,0,0,
2023-06-22,101.90,HUF,CinemaCity,CinemaCity purchase,Dining,HU,0,0,
2023-06-23,176.98,EUR,BookWorld,BookWorld purchase,Leisure,HU,0,0,
2023-07-01,40.18,HUF,MarketSquare,MarketSquare extra,Health,SK,0,0,
2023-07-01,74.01,HUF,BookWorld,BookWorld extra,Groceries,RO,0,0,
2023-07-02,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-07-02,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-07-02,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-07-03,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-07-03,76.72,EUR,Shell,Shell purchase,Groceries,HU,0,0,
2023-07-03,15.20,HUF,Tesco,Tesco purchase,Groceries,DE,0,0,
2023-07-05,51.68,HUF,PharmaPlus,PharmaPlus purchase,Fuel,AT,0,0,
2023-07-05,340.00,EUR,FestivalTickets,FestivalTickets event,Leisure,ES,0,1,high_amount
2023-07-08,92.96,EUR,CinemaCity,CinemaCity purchase,Books,HU,0,0,
2023-07-09,153.53,EUR,Ikea,Ikea purchase,Leisure,HU,0,0,
2023-07-10,22.53,HUF,BookWorld,BookWorld purchase,Leisure,HU,0,0,
2023-07-10,15.53,HUF,Shell,Shell purchase,Dining,DE,0,0,
2023-07-15,16.73,EUR,HobbyShop,HobbyShop purchase,Dining,HU,0,0,
2023-07-16,8.57,HUF,CafeBreeze,CafeBreeze purchase,Health,AT,0,0,
2023-07-16,28.95,EUR,PharmaPlus,PharmaPlus extra,Transport,RO,0,0,
2023-07-18,121.40,EUR,Ikea,Ikea purchase,Health,DE,0,0,
2023-07-19,10.14,EUR,Shell,Shell purchase,Fuel,HU,0,0,
2023-07-22,139.46,HUF,MarketSquare,MarketSquare purchase,Books,HU,0,0,
2023-07-23,63.02,EUR,PharmaPlus,PharmaPlus extra,Transport,HU,0,0,
2023-07-24,31.96,EUR,HobbyShop,HobbyShop purchase,Dining,AT,0,0,
2023-07-25,114.12,HUF,Tesco,Tesco purchase,Groceries,AT,0,0,
2023-07-26,150.14,EUR,Tesco,Tesco purchase,Health,HU,0,0,
2023-08-01,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-08-01,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-08-01,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-08-02,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-08-02,117.21,EUR,CafeBreeze,CafeBreeze purchase,Fuel,DE,0,0,
2023-08-02,73.28,EUR,Ikea,Ikea extra,Dining,HU,0,0,
2023-08-04,8.30,HUF,PharmaPlus,PharmaPlus purchase,Leisure,DE,0,0,
2023-08-04,130.64,HUF,BookWorld,BookWorld purchase,Fuel,HU,0,0,
2023-08-07,31.50,HUF,BookWorld,BookWorld extra,Dining,RO,0,0,
2023-08-08,82.38,EUR,MarketSquare,MarketSquare extra,Leisure,HU,0,0,
2023-08-10,169.04,EUR,Ikea,Ikea purchase,Books,HU,0,0,
2023-08-12,75.58,HUF,Ikea,Ikea purchase,Dining,HU,0,0,
2023-08-12,137.97,HUF,MarketSquare,MarketSquare purchase,Fuel,HU,0,0,
2023-08-13,133.08,EUR,CafeBreeze,CafeBreeze purchase,Books,HU,0,0,
2023-08-15,88.21,EUR,CinemaCity,CinemaCity purchase,Dining,HU,0,0,
2023-08-16,75.78,EUR,CinemaCity,CinemaCity purchase,Books,DE,0,0,
2023-08-17,178.96,EUR,CinemaCity,CinemaCity purchase,Home,HU,0,0,
2023-08-17,40.65,EUR,PharmaPlus,PharmaPlus purchase,Books,HU,0,0,
2023-08-19,32.38,EUR,Ikea,Ikea purchase,Fuel,HU,0,0,
2023-08-20,56.09,EUR,HobbyShop,HobbyShop purchase,Fuel,HU,0,0,
2023-08-23,124.22,EUR,BookWorld,BookWorld purchase,Dining,HU,0,0,
2023-08-26,165.11,HUF,MarketSquare,MarketSquare purchase,Dining,HU,0,0,
2024-01-03,25.00,EUR,AnnualMagazine,AnnualMagazine subscription,Entertainment,UK,1,0,
